ID,Outcome,Oas1b_status,Tissue,UNC_ID,Experiment,Timepoint,fc.mean
CC(017x004)/F1_SP_IFITM1_12,Asymptomatic,Functional+Functional,Spleen,CC(017x004)/F1,IFITM1,12,0.629669417
CC(017x004)/F1_SP_IFITM1_2,Asymptomatic,Functional+Functional,Spleen,CC(017x004)/F1,IFITM1,2,0.811502248
CC(017x004)/F1_SP_IFITM1_4,Asymptomatic,Functional+Functional,Spleen,CC(017x004)/F1,IFITM1,4,1.0236895
CC(017x004)/F1_SP_IFITM1_7,Asymptomatic,Functional+Functional,Spleen,CC(017x004)/F1,IFITM1,7,0.80751209
CC(017x004)/F1_SP_IFNb1_12,Asymptomatic,Functional+Functional,Spleen,CC(017x004)/F1,IFNb1,12,0.443822706
CC(017x004)/F1_SP_IFNb1_2,Asymptomatic,Functional+Functional,Spleen,CC(017x004)/F1,IFNb1,2,0.819573233
CC(017x004)/F1_SP_IFNb1_4,Asymptomatic,Functional+Functional,Spleen,CC(017x004)/F1,IFNb1,4,0.707025402
CC(017x004)/F1_SP_IFNb1_7,Asymptomatic,Functional+Functional,Spleen,CC(017x004)/F1,IFNb1,7,0.335113707
CC(019x004)/F1_SP_IFITM1_12,Asymptomatic,Functional+Functional,Spleen,CC(019x004)/F1,IFITM1,12,0.774259365
CC(019x004)/F1_SP_IFITM1_2,Asymptomatic,Functional+Functional,Spleen,CC(019x004)/F1,IFITM1,2,1.246120911
CC(019x004)/F1_SP_IFITM1_4,Asymptomatic,Functional+Functional,Spleen,CC(019x004)/F1,IFITM1,4,0.065926399
CC(019x004)/F1_SP_IFITM1_7,Asymptomatic,Functional+Functional,Spleen,CC(019x004)/F1,IFITM1,7,0.926873143
CC(019x004)/F1_SP_IFNb1_12,Asymptomatic,Functional+Functional,Spleen,CC(019x004)/F1,IFNb1,12,1.125838548
CC(019x004)/F1_SP_IFNb1_2,Asymptomatic,Functional+Functional,Spleen,CC(019x004)/F1,IFNb1,2,1.512684336
CC(019x004)/F1_SP_IFNb1_4,Asymptomatic,Functional+Functional,Spleen,CC(019x004)/F1,IFNb1,4,0.046746417
CC(019x004)/F1_SP_IFNb1_7,Asymptomatic,Functional+Functional,Spleen,CC(019x004)/F1,IFNb1,7,0.12824727
CC(009x040)/F1_SP_IFITM1_12,Symptomatic,Null+Null,Spleen,CC(009x040)/F1,IFITM1,12,3.564692782
CC(009x040)/F1_SP_IFITM1_2,Symptomatic,Null+Null,Spleen,CC(009x040)/F1,IFITM1,2,0.947807594
CC(009x040)/F1_SP_IFITM1_4,Symptomatic,Null+Null,Spleen,CC(009x040)/F1,IFITM1,4,1.118922748
CC(009x040)/F1_SP_IFITM1_7,Symptomatic,Null+Null,Spleen,CC(009x040)/F1,IFITM1,7,0.682809721
CC(009x040)/F1_SP_IFNb1_12,Symptomatic,Null+Null,Spleen,CC(009x040)/F1,IFNb1,12,1.079436077
CC(009x040)/F1_SP_IFNb1_2,Symptomatic,Null+Null,Spleen,CC(009x040)/F1,IFNb1,2,1.337103208
CC(009x040)/F1_SP_IFNb1_4,Symptomatic,Null+Null,Spleen,CC(009x040)/F1,IFNb1,4,0.992098502
CC(009x040)/F1_SP_IFNb1_7,Symptomatic,Null+Null,Spleen,CC(009x040)/F1,IFNb1,7,0.036364302
CC(006x007)/F1_SP_IFITM1_12,Symptomatic,Null+Null,Spleen,CC(006x007)/F1,IFITM1,12,0.963707152
CC(006x007)/F1_SP_IFITM1_2,Symptomatic,Null+Null,Spleen,CC(006x007)/F1,IFITM1,2,0.867004292
CC(006x007)/F1_SP_IFITM1_4,Symptomatic,Null+Null,Spleen,CC(006x007)/F1,IFITM1,4,0.819415233
CC(006x007)/F1_SP_IFITM1_7,Symptomatic,Null+Null,Spleen,CC(006x007)/F1,IFITM1,7,0.780125365
CC(006x007)/F1_SP_IFNb1_12,Symptomatic,Null+Null,Spleen,CC(006x007)/F1,IFNb1,12,1.400772215
CC(006x007)/F1_SP_IFNb1_2,Symptomatic,Null+Null,Spleen,CC(006x007)/F1,IFNb1,2,2.604287315
CC(006x007)/F1_SP_IFNb1_4,Symptomatic,Null+Null,Spleen,CC(006x007)/F1,IFNb1,4,1.464198483
CC(006x007)/F1_SP_IFNb1_7,Symptomatic,Null+Null,Spleen,CC(006x007)/F1,IFNb1,7,0.745470168
CC(030x061)/F1_SP_IFITM1_12,Asymptomatic,Functional+Null,Spleen,CC(030x061)/F1,IFITM1,12,0.582052982
CC(030x061)/F1_SP_IFITM1_2,Asymptomatic,Functional+Null,Spleen,CC(030x061)/F1,IFITM1,2,0.915874832
CC(030x061)/F1_SP_IFITM1_4,Asymptomatic,Functional+Null,Spleen,CC(030x061)/F1,IFITM1,4,0.618280466
CC(030x061)/F1_SP_IFITM1_7,Asymptomatic,Functional+Null,Spleen,CC(030x061)/F1,IFITM1,7,0.560108366
CC(030x061)/F1_SP_IFNb1_12,Asymptomatic,Functional+Null,Spleen,CC(030x061)/F1,IFNb1,12,1.630521059
CC(030x061)/F1_SP_IFNb1_2,Asymptomatic,Functional+Null,Spleen,CC(030x061)/F1,IFNb1,2,2.754900293
CC(030x061)/F1_SP_IFNb1_4,Asymptomatic,Functional+Null,Spleen,CC(030x061)/F1,IFNb1,4,0.283068343
CC(030x061)/F1_SP_IFNb1_7,Asymptomatic,Functional+Null,Spleen,CC(030x061)/F1,IFNb1,7,0.424940998
CC(003x062)/F1_SP_IFITM1_12,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFITM1,12,1.774265321
CC(003x062)/F1_SP_IFITM1_2,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFITM1,2,1.454084508
CC(003x062)/F1_SP_IFITM1_4,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFITM1,4,1.149495187
CC(003x062)/F1_SP_IFITM1_7,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFITM1,7,0.905703384
CC(003x062)/F1_SP_IFNb1_12,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFNb1,12,0.388323933
CC(003x062)/F1_SP_IFNb1_2,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFNb1,2,0.762424238
CC(003x062)/F1_SP_IFNb1_4,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFNb1,4,0.498270202
